Period,X1,X2,X3,X4,X5,CR,CLTL,NIS,TETA,ROA,ROE,Indication
2017,0.182080035,0.01289594,0.043543414,0.160886894,0.057005588,11.98454142,0.018122885,0.166200103,0.085353968,0.009474335,0.111000517,Healthy
2018,0.166507376,0.017371448,0.054949059,0.101239763,0.070711764,10.05000418,0.020039326,0.154088765,0.081875497,0.010895888,0.133078746,Healthy
2019,0.232503745,0.017749157,0.05705713,0.086238578,0.069731577,13.66382828,0.019886226,0.169204414,0.076764335,0.011798891,0.153702768,Healthy
2015,0.281171743,0.007553679,0.064294475,0.050511167,0.091001137,15.86441552,0.020895588,0.086471518,0.094748531,0.007869006,0.083051487,Healthy
2016,0.2085581,0.008181969,0.066234006,0.062501274,0.078437473,8.985837069,0.028727709,0.133113927,0.090912628,0.01044112,0.114847852,Healthy
2017,0.198325793,0.007531386,0.057280829,0.079168886,0.06664734,8.05017827,0.030670497,0.148223619,0.082812163,0.00987871,0.119290568,Healthy
2018,0.149869796,0.006054792,0.058396586,0.048591196,0.073909398,8.461188524,0.021737559,0.084948398,0.075950293,0.006278485,0.082665711,Healthy
2019,0.143549557,0.005152907,0.061783556,0.035252758,0.073829004,9.657058221,0.01778029,0.074511638,0.067405848,0.00550112,0.08161191,Healthy
2015,0.038970411,0.002165715,0.075315872,0.024143402,0.093117961,1.307953491,0.131515057,0.035721301,0.037780003,0.003326295,0.08804379,Insolvent
2016,0.284830074,0.002631756,0.067890727,0.032397724,0.087497395,22.55347015,0.013703828,0.053431166,0.035667661,0.004675088,0.131073576,Healthy
2017,0.202453288,0.002390422,0.061689311,0.033817987,0.082293475,14.51693052,0.015507636,0.049029097,0.034168942,0.004034775,0.118083103,Healthy
2018,0.159283181,0.002429898,0.070774585,0.023862615,0.091487347,11.38409135,0.015910334,0.046832642,0.035899923,0.004284594,0.119348284,Healthy
2019,0.180747576,0.002246158,0.070730233,0.019906152,0.088802706,12.9454593,0.015683195,0.053510093,0.035204924,0.004751841,0.134976604,Healthy
2015,0.05629643,-1.337129802,0.018906121,0.135383607,0.040217083,3.970928689,0.010728158,-0.271444121,-0.766295905,-0.010916691,0.014246051,Insolvent
2016,0.118726649,-1.377481593,0.009903454,1.445203966,0.036269477,7.582631139,0.098509259,-0.586506963,0.816907044,-0.021272301,-0.02604005,Insolvent
2017,0.104749605,-1.546886408,-0.000655844,0.207519732,0.033314126,6.205387516,0.010665094,-1.024229778,-0.886838067,-0.03412132,0.038475254,Insolvent
2018,0.089773949,-1.55134225,-0.003408775,0.141908212,0.030780365,4.694187652,0.012410802,-1.372925329,-0.958084951,-0.042259142,0.044107928,Insolvent
2019,0.088522884,-1.659601934,0.004822832,0.087834828,0.035014067,4.139153471,0.01401611,-1.076709247,-1.011942317,-0.037699969,0.037255058,Insolvent
2015,0.16090678,0.018695807,0.055344788,0.063385885,0.070379689,7.67014264,0.025895854,0.083107007,0.06844395,0.005849045,0.085457448,Healthy
2016,0.194045856,0.014068949,0.048585795,0.063170212,0.062682579,8.755962796,0.026888329,0.1260754,0.069524718,0.007902731,0.113667935,Healthy
2017,0.209936765,0.018011153,0.046096622,0.078579528,0.058582751,19.00452023,0.012758793,0.159360376,0.086102816,0.009335769,0.108425829,Healthy
2018,0.17464603,0.014892253,0.056029986,0.055611549,0.066352512,15.86064554,0.012810895,0.086761653,0.082636233,0.005756854,0.069665006,Healthy
2019,0.137156045,0.015340612,0.065024219,0.049557887,0.076315251,16.97455855,0.009360503,0.115519249,0.082751771,0.00881588,0.106534041,Healthy
2015,0.276382539,0.00793962,0.061176101,0.102069836,0.091447248,11.16203285,0.02990589,0.071055563,0.090561635,0.006497836,0.071750424,Healthy
2016,0.311334646,0.00280868,0.055305741,0.084829968,0.086246007,12.90498738,0.028344002,0.084944643,0.077349241,0.007326136,0.094715038,Healthy
2017,0.336644975,0.00275588,0.051423269,0.089845023,0.080681072,13.06342401,0.030064584,0.086418963,0.071789786,0.006972375,0.097122097,Secure
2018,0.285719285,0.002721755,0.055304661,0.052255226,0.083683211,12.56581586,0.026541772,0.094144611,0.0692493,0.007878323,0.113767552,Healthy
2019,0.259909734,0.002041952,0.044133256,0.028433775,0.066200052,15.15934048,0.019362591,0.072483274,0.05198316,0.004798396,0.092306747,Healthy
2015,0.065318114,0.008570173,0.068891866,0.060121138,0.069040032,1.25,0.293453144,0.17031623,0.109662094,0.011758638,0.107226094,Insolvent
2016,0.046992249,0.00707665,0.053331221,0.065486687,0.057388507,1.25,0.207310759,0.193664816,0.09329841,0.011114135,0.119124587,Insolvent
2017,0.044150454,0.006810899,0.049612965,0.0779115,0.058036826,1.25,0.191548784,0.19015498,0.078032166,0.011035991,0.141428746,Insolvent
2018,0.041999581,0.006867636,0.053494134,0.066548529,0.066514912,1.25,0.182608553,0.160556903,0.080008468,0.010679428,0.133478723,Insolvent
2019,0.077095514,0.006687842,0.013002505,0.012656493,0.018051875,17.81482722,0.004930691,0.119114591,0.070115648,0.002150242,0.030667074,Insolvent
2015,0.037478549,0.004864652,0.071886255,0.060569967,0.077970867,1.25,0.163788532,0.097894606,0.084708833,0.007632927,0.090107809,Insolvent
2016,0.139890896,0.007549504,0.063297394,0.059397186,0.067620557,14.03155079,0.011697172,0.160690106,0.082275206,0.010865954,0.132068397,Healthy
2017,0.106019357,0.006600374,0.06089377,0.084083422,0.062465002,7.849085614,0.016599904,0.184955088,0.067503975,0.01155322,0.171148734,Healthy
2018,0.104763915,0.004005114,0.065586263,0.053472268,0.06986136,8.57968395,0.014763031,0.142921841,0.063764523,0.009984714,0.156587297,Healthy
2019,0.097996714,0.004696557,0.064025901,0.032841294,0.072878016,8.97178984,0.013160269,0.095985843,0.065905305,0.006995258,0.106141043,Healthy
2015,0.171124912,0.005154778,0.063989738,0.053045116,0.073897215,11.43578334,0.017465659,0.126577363,0.061134868,0.009353715,0.153001303,Healthy
2016,0.215802518,0.005086991,0.054221751,0.065863081,0.0688234,12.60426942,0.019770643,0.128595508,0.059371962,0.00885038,0.149066659,Healthy
2017,0.175516762,0.008536877,0.048738606,0.093782705,0.060274131,10.66720019,0.019279907,0.162849456,0.058299169,0.009815609,0.168366196,Healthy
2018,0.129860531,0.009781946,0.054712482,0.096058365,0.070522081,9.200132518,0.016841772,0.110564092,0.059695487,0.00779721,0.130616405,Healthy
2019,0.118305477,0.008772957,0.055668965,0.072577126,0.071596229,8.43565812,0.016987682,0.072729582,0.06340612,0.005207164,0.082123994,Healthy
2015,0.175623147,0.008802197,0.072272698,0.064764094,0.069066314,10.59767926,0.020753361,0.198781377,0.118287306,0.013729097,0.116065683,Healthy
2016,0.152680847,0.012472504,0.066797419,0.074483713,0.061862017,9.643732067,0.020022561,0.295746117,0.117806925,0.018295451,0.155300306,Healthy
2017,0.168827449,0.008780368,0.059503363,0.099297976,0.064092681,10.93425148,0.019198796,0.213095309,0.114815265,0.01365785,0.118954999,Healthy
2018,0.104123577,0.007577766,0.061187905,0.068306936,0.068684222,7.780911091,0.01726126,0.1379372,0.110412784,0.009474109,0.085806271,Healthy
2019,0.105135331,0.000575565,0.061182204,0.057074917,0.07476632,8.275317693,0.016146899,0.118927139,0.10503181,0.008891745,0.084657634,Healthy
2015,0.155882632,0.00809507,0.06396251,0.061535302,0.075305994,9.45736667,0.020622743,0.124630046,0.106249825,0.009385389,0.088333223,Healthy
2016,0.14893111,0.008309326,0.05377414,0.070778125,0.064596409,8.492797741,0.021968044,0.18490047,0.095205361,0.011943906,0.125454137,Healthy
2017,0.141155866,0.006197455,0.048846415,0.083779157,0.062553998,9.02626252,0.019207621,0.144799121,0.08438691,0.009057764,0.107336125,Healthy
2018,0.156360696,0.005158409,0.057194515,0.062533406,0.072959541,9.254122118,0.020447084,0.103378099,0.073542869,0.007542419,0.102558124,Healthy
2019,0.171198686,0.006603045,0.06254875,0.046633837,0.079005503,9.565221651,0.0216189,0.104596854,0.075454643,0.008263727,0.109519133,Healthy
2015,0.199936338,0.006522536,0.060207475,0.064272785,0.077626901,52.1760164,0.004204228,0.156346644,0.070736185,0.012136705,0.171577042,Healthy
2016,0.036961853,0.00722095,0.057871467,0.069350839,0.068077636,1.25,0.158461246,0.189055016,0.066980632,0.012870419,0.192151346,Insolvent
2017,0.030770356,0.007874213,0.055798689,0.082483033,0.0658969,1.25,0.131321781,0.175973242,0.062749363,0.011596091,0.184800144,Insolvent
2018,0.03546451,0.004766038,0.060635591,0.045667496,0.079068673,1.25,0.1500583,0.066976624,0.054647154,0.005295753,0.096908116,Insolvent
2019,0.197060444,0.005374415,0.06559478,0.03079084,0.078406401,13.44145727,0.016745,0.068882552,0.054104706,0.005400833,0.09982187,Healthy
2015,0.066490568,0.008024301,0.064377308,0.043054451,0.074905824,8.125159781,0.010153982,0.097472915,0.080971314,0.007301289,0.090171303,Insolvent
2016,0.128509584,0.01014996,0.058778499,0.046636786,0.06688831,17.37870032,0.008498638,0.154357204,0.076776749,0.010324693,0.134476814,Healthy
2017,0.112480059,0.011431752,0.056048103,0.064502505,0.06778284,8.409202589,0.016360554,0.159165762,0.072089577,0.010788707,0.149656965,Healthy
2018,0.12339817,0.011803764,0.059720062,0.046413659,0.076941391,8.263769967,0.018288644,0.136013929,0.071108199,0.010465101,0.147171506,Healthy
2019,0.108360276,0.014294381,0.057745341,0.030502626,0.071021554,9.615312693,0.013544843,0.115177949,0.071407681,0.008180117,0.11455514,Healthy
2015,0.029906286,0.007317271,0.064967645,0.083034623,0.061413679,1.25,0.133594048,0.139592099,0.104562324,0.008572864,0.081988081,Insolvent
2016,0.171616753,0.00717886,0.047183327,0.073351502,0.050908992,37.28375722,0.00521247,0.157334763,0.092589424,0.008009754,0.086508306,Healthy
2017,0.197162549,0.003955441,0.039309562,0.109576674,0.052690049,53.86814179,0.004088573,0.081692004,0.08786612,0.004304356,0.04898766,Healthy
2018,0.136491014,0.011803764,0.05993979,0.101780514,0.085440381,36.03966965,0.004193522,0.121658117,0.071108199,0.010394516,0.146178866,Healthy
2019,0.034633379,0.006247507,0.041263989,0.06955633,0.061440062,1.25,0.150917799,0.083935437,0.082059787,0.005156998,0.062844405,Insolvent
2015,0.032663322,0.010667663,0.051305119,0.072043894,0.064910093,1.25,0.142750368,0.15854799,0.084742909,0.010291365,0.121442194,Insolvent
2016,0.177010888,0.010550537,0.036968837,0.071494053,0.054975065,36.99868617,0.005322781,0.079090572,0.07620691,0.004348009,0.057055316,Healthy
2017,0.084760403,0.005663711,0.030399893,0.002670941,0.051671281,7.896917862,0.013148361,0.00300379,0.065312676,0.00015521,0.00237641,Insolvent
2018,0.168547816,0.010453953,0.045324516,0.067826216,0.058515594,17.12434721,0.011195506,0.151097233,0.06632171,0.008841544,0.133312973,Healthy
2019,0.147518657,0.010219171,0.041795101,0.05534339,0.054888617,17.51785231,0.009498776,0.082950163,0.059788148,0.00455302,0.076152546,Healthy
2015,0.033190603,0.005189848,0.057394256,0.018049884,0.050954315,1.281376208,0.123207033,0.015401549,0.042602545,0.000784775,0.018420857,Insolvent
